quarter_day_label,q1_1,q1_2,q1_3,q1_4,q1_5,q1_6,q1_7,q1_8,q1_9,q1_10,q1_11,q1_12,q1_13,q1_14,q1_15,q1_16,q1_17,q1_18,q1_19,q1_20,q1_21,q1_22,q1_23,q1_24,q1_25,q1_26,q1_27,q1_28,q1_29,q1_30,q1_31,q1_32,q1_33,q1_34,q1_35,q1_36,q1_37,q1_38,q1_39,q1_40,q1_41,q1_42,q1_43,q1_44,q1_45,q1_46,q1_47,q1_48,q1_49,q1_50,q1_51,q1_52,q1_53,q1_54,q1_55,q1_56,q1_57,q1_58,q1_59,q1_60,q1_61,q1_62,q1_63,q1_64,q1_65,q1_66,q1_67,q1_68,q1_69,q1_70,q1_71,q1_72,q1_73,q1_74,q1_75,q1_76,q1_77,q1_78,q1_79,q1_80,q1_81,q1_82,q1_83,q1_84,q1_85,q1_86,q1_87,q1_88,q1_89,q1_90,q1_91,q2_1,q2_2,q2_3,q2_4,q2_5,q2_6,q2_7,q2_8,q2_9,q2_10,q2_11,q2_12,q2_13,q2_14,q2_15,q2_16,q2_17,q2_18,q2_19,q2_20,q2_21,q2_22,q2_23,q2_24,q2_25,q2_26,q2_27,q2_28,q2_29,q2_30,q2_31,q2_32,q2_33,q2_34,q2_35,q2_36,q2_37,q2_38,q2_39,q2_40,q2_41,q2_42,q2_43,q2_44,q2_45,q2_46,q2_47,q2_48,q2_49,q2_50,q2_51,q2_52,q2_53,q2_54,q2_55,q2_56,q2_57,q2_58,q2_59,q2_60,q2_61,q2_62,q2_63,q2_64,q2_65,q2_66,q2_67,q2_68,q2_69,q2_70,q2_71,q2_72,q2_73,q2_74,q2_75,q2_76,q2_77,q2_78,q2_79,q2_80,q2_81,q2_82,q2_83,q2_84,q2_85,q2_86,q2_87,q2_88,q2_89,q2_90,q2_91,q2_92,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q3_7,q3_8,q3_9,q3_10,q3_11,q3_12,q3_13,q3_14,q3_15,q3_16,q3_17,q3_18,q3_19,q3_20,q3_21,q3_22,q3_23,q3_24,q3_25,q3_26,q3_27,q3_28,q3_29,q3_30,q3_31,q3_32,q3_33,q3_34,q3_35,q3_36,q3_37,q3_38,q3_39,q3_40,q3_41,q3_42,q3_43,q3_44,q3_45,q3_46,q3_47,q3_48,q3_49,q3_50,q3_51,q3_52,q3_53,q3_54,q3_55,q3_56,q3_57,q3_58,q3_59,q3_60,q3_61,q3_62,q3_63,q3_64,q3_65,q3_66,q3_67,q3_68,q3_69,q3_70,q3_71,q3_72,q3_73,q3_74,q3_75,q3_76,q3_77,q3_78,q3_79,q3_80,q3_81,q3_82,q3_83,q3_84,q3_85,q3_86,q3_87,q3_88,q3_89,q3_90,q3_91,q3_92
capital_lease_obligations,24660606,24661138,24661668,24662210,24662742,24663277,24663822,24664351,24664890,24665436,24665969,24666504,24667047,24667577,24668105,24668654,24669195,24669723,24670268,24670802,24671328,24671871,24672402,24672939,24673482,24674025,24674556,24675096,24675628,24676163,24676704,24677242,24677777,24678315,24678847,24679384,24679920,24680463,24680991,24681545,24682069,24682609,24683132,24683683,24684215,24684758,24685284,24685822,24686358,24686891,24687434,24687969,24688510,24689040,24689576,24690117,24690652,24691189,24691726,24692258,24692800,24693331,24693866,24694406,24694947,24695485,24696014,24696557,24697086,24697630,24698158,24698692,24699234,24699775,24700300,24700849,24701387,24701929,24702464,24702993,24703534,24704067,24704605,24705138,24705674,24706216,24706751,24707290,24707832,24708369,24708900,24708894,24718034,24727178,24736309,24745446,24754581,24763722,24772867,24781997,24791133,24800267,24809400,24818548,24827680,24836821,24845959,24855096,24864227,24873364,24882506,24891641,24900776,24909908,24919046,24928187,24937312,24946457,24955601,24964733,24973868,24983005,24992139,25001280,25010416,25019547,25028692,25037824,25046963,25056098,25065237,25074376,25083511,25092643,25101782,25110928,25120058,25129200,25138326,25147476,25156596,25165747,25174875,25184015,25193146,25202288,25211414,25220564,25229695,25238833,25247975,25257103,25266254,25275375,25284514,25293653,25302790,25311931,25321066,25330193,25339336,25348474,25357610,25366749,25375881,25385023,25394159,25403291,25412432,25421570,25430706,25439842,25448974,25458118,25467253,25476393,25485520,25494662,25503808,25512933,25522083,25531219,25540350,25540343,25540879,25541408,25541953,25542472,25543005,25543538,25544061,25544594,25545130,25545658,25546186,25546715,25547249,25547781,25548315,25548849,25549374,25549905,25550441,25550971,25551503,25552023,25552556,25553082,25553624,25554158,25554682,25555215,25555746,25556271,25556807,25557331,25557868,25558400,25558919,25559459,25559987,25560525,25561059,25561587,25562109,25562641,25563172,25563694,25564235,25564766,25565293,25565821,25566352,25566894,25567418,25567947,25568482,25569012,25569546,25570074,25570598,25571133,25571668,25572195,25572715,25573264,25573787,25574313,25574847,25575379,25575913,25576442,25576973,25577505,25578029,25578565,25579095,25579625,25580157,25580689,25581210,25581746,25582279,25582806,25583343,25583876,25584402,25584936,25585461,25585998,25586532,25587061,25587595,25588121,25588650
retained_earnings,-464384944,-466489829,-468594713,-470699605,-472804473,-474909361,-477014244,-479119134,-481224017,-483328906,-485433788,-487538656,-489643542,-491748426,-493853311,-495958197,-498063082,-500167956,-502272857,-504377734,-506482617,-508587491,-510692379,-512797266,-514902148,-517007035,-519111916,-521216799,-523321685,-525426572,-527531454,-529636335,-531741214,-533846098,-535950981,-538055863,-540160752,-542265631,-544370517,-546475391,-548580278,-550685167,-552790047,-554894936,-556999818,-559104698,-561209576,-563314466,-565419355,-567524243,-569629116,-571734000,-573838886,-575943767,-578048653,-580153537,-582258414,-584363302,-586468180,-588573067,-590677946,-592782824,-594887717,-596992597,-599097487,-601202367,-603307251,-605412138,-607517022,-609621908,-611726787,-613831677,-615936554,-618041440,-620146319,-622251199,-624356087,-626460964,-628565852,-630670733,-632775617,-634880505,-636985383,-639090262,-641195150,-643300028,-645404909,-647509793,-649614683,-651719571,-653824450,-653824447,-654115986,-654407515,-654699048,-654990573,-655282098,-655573634,-655865170,-656156698,-656448226,-656739765,-657031291,-657322822,-657614350,-657905879,-658197424,-658488941,-658780477,-659072013,-659363545,-659655079,-659946605,-660238139,-660529671,-660821198,-661112734,-661404261,-661695792,-661987323,-662278861,-662570386,-662861924,-663153454,-663444985,-663736516,-664028045,-664319574,-664611110,-664902643,-665194168,-665485698,-665777237,-666068762,-666360304,-666651827,-666943364,-667234888,-667526423,-667817960,-668109487,-668401014,-668692547,-668984079,-669275610,-669567148,-669858675,-670150203,-670441740,-670733261,-671024799,-671316327,-671607867,-671899398,-672190924,-672482455,-672773983,-673065524,-673357050,-673648581,-673940117,-674231649,-674523174,-674814709,-675106241,-675397766,-675689305,-675980826,-676272366,-676563898,-676855424,-677146951,-677438490,-677730012,-678021552,-678313081,-678604616,-678896141,-679187669,-679479206,-679770743,-680062262,-680353800,-680353807,-682435555,-684517300,-686599069,-688680811,-690762567,-692844313,-694926062,-697007825,-699089571,-701171324,-703253075,-705334828,-707416585,-709498334,-711580087,-713661840,-715743595,-717825353,-719907101,-721988856,-724070610,-726152356,-728234125,-730315860,-732397616,-734479375,-736561123,-738642876,-740724630,-742806382,-744888128,-746969887,-749051635,-751133395,-753215149,-755296902,-757378657,-759460407,-761542157,-763623909,-765705668,-767787413,-769869166,-771950927,-774032670,-776114429,-778196179,-780277930,-782359684,-784441437,-786523194,-788604943,-790686697,-792768447,-794850200,-796931954,-799013704,-801095463,-803177209,-805258968,-807340724,-809422469,-811504228,-813585982,-815667736,-817749486,-819831236,-821912988,-823994737,-826076499,-828158248,-830240003,-832321759,-834403507,-836485255,-838567017,-840648762,-842730513,-844812270,-846894019,-848975770,-851057524,-853139271,-855221027,-857302790,-859384533,-861466291,-863548043,-865629787,-867711548,-869793300
common_stock,2116353053,2116567732,2116782411,2116997093,2117211772,2117426453,2117641127,2117855812,2118070492,2118285170,2118499850,2118714529,2118929205,2119143888,2119358567,2119573245,2119787919,2120002601,2120217277,2120431962,2120646642,2120861327,2121075993,2121290680,2121505350,2121720035,2121934719,2122149398,2122364077,2122578758,2122793437,2123008119,2123222797,2123437480,2123652152,2123866832,2124081520,2124296190,2124510875,2124725552,2124940229,2125154907,2125369582,2125584271,2125798948,2126013629,2126228309,2126442982,2126657663,2126872345,2127087023,2127301699,2127516383,2127731056,2127945732,2128160422,2128375097,2128589778,2128804460,2129019133,2129233809,2129448494,2129663175,2129877861,2130092529,2130307208,2130521894,2130736569,2130951255,2131165933,2131380611,2131595293,2131809974,2132024651,2132239329,2132454009,2132668690,2132883372,2133098046,2133312721,2133527407,2133742081,2133956759,2134171441,2134386130,2134600797,2134815483,2135030157,2135244839,2135459521,2135674200,2135674196,2136102293,2136530382,2136958473,2137386562,2137814653,2138242751,2138670833,2139098930,2139527009,2139955110,2140383194,2140811290,2141239381,2141667467,2142095555,2142523652,2142951741,2143379829,2143807930,2144236012,2144664100,2145092196,2145520285,2145948374,2146376476,2146804555,2147232658,2147660737,2148088838,2148516920,2148945009,2149373107,2149801189,2150229274,2150657370,2151085463,2151513564,2151941643,2152369740,2152797832,2153225912,2153653997,2154082102,2154510195,2154938284,2155366370,2155794461,2156222555,2156650635,2157078740,2157506824,2157934911,2158363005,2158791094,2159219176,2159647279,2160075366,2160503458,2160931548,2161359641,2161787731,2162215818,2162643908,2163072000,2163500085,2163928187,2164356272,2164784358,2165212452,2165640550,2166068632,2166496723,2166924819,2167352905,2167780998,2168209089,2168637181,2169065270,2169493360,2169921451,2170349543,2170777636,2171205727,2171633814,2172061908,2172490000,2172918093,2173346179,2173774269,2174202356,2174630450,2174630454,2174842781,2175055088,2175267415,2175479728,2175692046,2175904374,2176116685,2176329010,2176541338,2176753648,2176965973,2177178287,2177390613,2177602938,2177815257,2178027578,2178239899,2178452215,2178664536,2178876866,2179089179,2179301493,2179513821,2179726148,2179938464,2180150781,2180363103,2180575419,2180787737,2181000065,2181212383,2181424701,2181637020,2181849346,2182061654,2182273980,2182486306,2182698626,2182910945,2183123270,2183335588,2183547911,2183760229,2183972549,2184184865,2184397184,2184609507,2184821819,2185034141,2185246462,2185458784,2185671104,2185883430,2186095743,2186308066,2186520388,2186732704,2186945029,2187157347,2187369669,2187581988,2187794313,2188006627,2188218951,2188431261,2188643585,2188855907,2189068221,2189280559,2189492875,2189705196,2189917511,2190129832,2190342152,2190554473,2190766795,2190979118,2191191434,2191403753,2191616080,2191828398,2192040718,2192253031,2192465351,2192677682,2192890002,2193102316,2193314642,2193526966,2193739280,2193951600
other_non_current_liabilities,9617444,9616310,9615168,9614035,9612900,9611766,9610625,9609490,9608355,9607211,9606083,9604945,9603807,9602663,9601529,9600398,9599255,9598121,9596977,9595848,9594706,9593570,9592440,9591296,9590156,9589019,9587884,9586744,9585607,9584473,9583333,9582187,9581059,9579919,9578789,9577648,9576513,9575376,9574240,9573100,9571959,9570830,9569691,9568542,9567415,9566272,9565133,9563990,9562863,9561722,9560589,9559446,9558311,9557176,9556033,9554903,9553759,9552629,9551484,9550345,9549215,9548072,9546936,9545808,9544666,9543527,9542382,9541250,9540117,9538976,9537843,9536711,9535566,9534432,9533294,9532150,9531021,9529874,9528743,9527604,9526471,9525332,9524199,9523057,9521922,9520793,9519648,9518503,9517377,9516235,9515100,9515105,9515669,9516244,9516812,9517369,9517945,9518515,9519079,9519652,9520223,9520789,9521354,9521922,9522497,9523066,9523636,9524200,9524768,9525342,9525908,9526476,9527046,9527623,9528182,9528749,9529319,9529890,9530451,9531023,9531593,9532162,9532730,9533301,9533867,9534438,9535009,9535577,9536142,9536709,9537285,9537852,9538417,9538985,9539547,9540125,9540689,9541259,9541822,9542393,9542961,9543539,9544098,9544671,9545230,9545816,9546377,9546951,9547514,9548084,9548657,9549221,9549795,9550359,9550927,9551502,9552064,9552627,9553201,9553770,9554336,9554904,9555476,9556049,9556614,9557187,9557753,9558313,9558889,9559464,9560023,9560590,9561156,9561734,9562301,9562872,9563436,9564006,9564576,9565144,9565710,9566278,9566850,9566854,9565722,9564605,9563475,9562358,9561227,9560100,9558984,9557861,9556731,9555607,9554481,9553353,9552231,9551111,9549981,9548861,9547731,9546602,9545481,9544353,9543231,9542108,9540982,9539861,9538734,9537600,9536484,9535356,9534240,9533111,9531985,9530857,9529737,9528620,9527482,9526360,9525233,9524121,9522981,9521861,9520740,9519611,9518488,9517365,9516236,9515114,9513991,9512861,9511741,9510614,9509493,9508369,9507243,9506116,9504996,9503865,9502739,9501617,9500492,9499360,9498245,9497118,9495991,9494870,9493735,9492619,9491494,9490371,9489244,9488112,9486997,9485870,9484736,9483614,9482493,9481368,9480246,9479112,9477999,9476863,9475746,9474616,9473494,9472368,9471250,9470131,9468995,9467878,9466751,9465631,9464500
derivative_product_liabilities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700,733700
non_current_deferred_revenue,22247901,22241580,22235243,22228928,22222601,22216274,22209949,22203628,22197298,22190971,22184658,22178322,22172003,22165681,22159355,22153034,22146706,22140380,22134056,22127723,22121403,22115074,22108750,22102431,22096103,22089780,22083447,22077130,22070802,22064478,22058152,22051826,22045494,22039176,22032859,22026531,22020198,22013871,22007551,22001228,21994903,21988576,21982244,21975931,21969604,21963274,21956944,21950633,21944301,21937984,21931644,21925327,21919003,21912680,21906350,21900020,21893699,21887375,21881050,21874729,21868399,21862066,21855754,21849420,21843091,21836776,21830454,21824120,21817801,21811479,21805148,21798820,21792499,21786168,21779846,21773524,21767194,21760864,21754553,21748219,21741897,21735574,21729245,21722921,21716604,21710276,21703947,21697624,21691299,21684973,21678650,21678648,21672498,21666343,21660184,21654035,21647882,21641728,21635571,21629409,21623256,21617104,21610951,21604799,21598640,21592495,21586336,21580179,21574031,21567869,21561719,21555568,21549404,21543257,21537098,21530938,21524789,21518645,21512485,21506323,21500175,21494025,21487867,21481705,21475568,21469406,21463251,21457093,21450940,21444778,21438628,21432479,21426325,21420169,21414015,21407856,21401701,21395552,21389394,21383238,21377089,21370934,21364781,21358620,21352468,21346305,21340159,21334008,21327853,21321689,21315540,21309386,21303225,21297076,21290915,21284766,21278607,21272454,21266307,21260150,21253998,21247847,21241687,21235535,21229375,21223224,21217074,21210914,21204761,21198605,21192451,21186300,21180138,21173993,21167833,21161688,21155525,21149369,21143214,21137061,21130914,21124756,21118600,21118598,21112347,21106084,21099830,21093578,21087315,21081076,21074818,21068556,21062305,21056046,21049789,21043535,21037287,21031028,21024773,21018520,21012254,21006005,20999753,20993493,20987236,20980987,20974720,20968468,20962214,20955965,20949701,20943457,20937196,20930940,20924680,20918425,20912165,20905919,20899665,20893401,20887152,20880897,20874633,20868379,20862135,20855872,20849615,20843354,20837101,20830846,20824592,20818336,20812078,20805828,20799569,20793309,20787065,20780799,20774545,20768291,20762034,20755787,20749527,20743270,20737014,20730759,20724505,20718255,20712001,20705733,20699483,20693221,20686971,20680710,20674457,20668196,20661941,20655690,20649433,20643176,20636921,20630671,20624416,20618159,20611900,20605648,20599394,20593134,20586878,20580629,20574370,20568113,20561865,20555604,20549350
long_term_capital_lease_obligation,23271404,23267973,23264550,23261127,23257696,23254272,23250853,23247426,23244011,23240585,23237158,23233737,23230308,23226886,23223459,23220025,23216606,23213185,23209769,23206341,23202906,23199487,23196068,23192640,23189212,23185796,23182368,23178943,23175521,23172095,23168672,23165241,23161816,23158401,23154971,23151551,23148123,23144694,23141268,23137853,23134422,23130997,23127583,23124157,23120722,23117301,23113876,23110452,23107025,23103606,23100167,23096745,23093335,23089907,23086485,23083059,23079635,23076211,23072788,23069355,23065935,23062505,23059084,23055658,23052234,23048813,23045380,23041968,23038540,23035110,23031695,23028257,23024838,23021417,23017990,23014568,23011143,23007718,23004283,23000872,22997440,22994028,22990594,22987171,22983740,22980321,22976902,22973472,22970046,22966622,22963200,22963193,22970045,22976902,22983749,22990596,22997451,23004292,23011153,23017996,23024852,23031692,23038544,23045400,23052241,23059096,23065938,23072795,23079641,23086490,23093341,23100193,23107037,23113890,23120741,23127592,23134441,23141291,23148135,23154978,23161847,23168687,23175535,23182390,23189238,23196079,23202931,23209777,23216636,23223481,23230327,23237178,23244028,23250883,23257723,23264574,23271422,23278271,23285121,23291977,23298824,23305670,23312525,23319368,23326222,23333063,23339925,23346768,23353615,23360468,23367319,23374166,23381015,23387869,23394717,23401567,23408413,23415267,23422118,23428971,23435817,23442665,23449503,23456358,23463208,23470057,23476906,23483750,23490611,23497452,23504306,23511162,23518005,23524860,23531712,23538556,23545406,23552250,23559096,23565949,23572809,23579646,23586500,23586504,23583115,23579722,23576339,23572949,23569571,23566188,23562791,23559409,23556009,23552634,23549256,23545863,23542471,23539093,23535696,23532317,23528920,23525544,23522155,23518769,23515373,23511993,23508608,23505213,23501833,23498448,23495064,23491669,23488284,23484898,23481512,23478126,23474735,23471347,23467968,23464581,23461186,23457803,23454418,23451033,23447637,23444257,23440864,23437474,23434087,23430710,23427318,23423935,23420549,23417157,23413770,23410390,23406998,23403612,23400223,23396837,23393453,23390063,23386677,23383288,23379904,23376516,23373129,23369744,23366362,23362962,23359581,23356200,23352807,23349420,23346041,23342644,23339256,23335872,23332487,23329098,23325717,23322327,23318937,23315552,23312171,23308779,23305392,23302011,23298622,23295237,23291848,23288456,23285068,23281690,23278300
other_current_liabilities,80702394,80501803,80301201,80100605,79900010,79699408,79498815,79298207,79097614,78897017,78696416,78495817,78295221,78094619,77894025,77693425,77492829,77292227,77091635,76891026,76690441,76489843,76289241,76088645,75888043,75687450,75486850,75286250,75085637,74885043,74684452,74483844,74283257,74082661,73882057,73681455,73480866,73280263,73079666,72879067,72678461,72477868,72277270,72076672,71876080,71675479,71474880,71274274,71073679,70873077,70672478,70471887,70271282,70070684,69870090,69669489,69468892,69268282,69067689,68867097,68666499,68465901,68265305,68064701,67864105,67663502,67462914,67262308,67061716,66861112,66660519,66459926,66259314,66058722,65858120,65657523,65456923,65256325,65055728,64855130,64654534,64453932,64253339,64052734,63852148,63651547,63450942,63250345,63049746,62849147,62648550,62648547,62465537,62282546,62099541,61916542,61733546,61550540,61367536,61184546,61001541,60818533,60635528,60452530,60269523,60086521,59903530,59720522,59537522,59354524,59171527,58988516,58805514,58622507,58439511,58256513,58073512,57890513,57707504,57524499,57341500,57158506,56975506,56792497,56609495,56426488,56243490,56060489,55877491,55694490,55511482,55328474,55145486,54962482,54779484,54596480,54413475,54230477,54047474,53864468,53681465,53498469,53315462,53132461,52949457,52766456,52583459,52400454,52217452,52034451,51851444,51668450,51485448,51302448,51119447,50936442,50753439,50570431,50387436,50204429,50021431,49838428,49655431,49472431,49289432,49106425,48923427,48740427,48557422,48374423,48191420,48008417,47825423,47642417,47459418,47276417,47093405,46910414,46727406,46544396,46361409,46178396,45995400,45995398,45797012,45598608,45400229,45201825,45003431,44805040,44606636,44408250,44209858,44011461,43813065,43614670,43416280,43217887,43019496,42821101,42622706,42424307,42225918,42027523,41829128,41630730,41432344,41233947,41035548,40837155,40638769,40440369,40241976,40043590,39845191,39646792,39448396,39250002,39051609,38853225,38654830,38456427,38258037,38059639,37861250,37662851,37464460,37266068,37067672,36869280,36670887,36472498,36274092,36075707,35877305,35678910,35480520,35282125,35083728,34885340,34686948,34488550,34290160,34091758,33893369,33694969,33496576,33298185,33099801,32901405,32703003,32504612,32306213,32107823,31909430,31711028,31512642,31314251,31115854,30917455,30719058,30520667,30322275,30123881,29925493,29727094,29528701,29330310,29131909,28933519,28735127,28536728,28338335,28139945,27941550
current_deferred_revenue,13220399,13189016,13157638,13126250,13094873,13063494,13032112,13000730,12969343,12937964,12906580,12875205,12843811,12812433,12781044,12749669,12718279,12686904,12655524,12624141,12592758,12561377,12529993,12498612,12467230,12435856,12404460,12373082,12341698,12310311,12278941,12247553,12216168,12184784,12153405,12122013,12090636,12059257,12027877,11996495,11965113,11933731,11902348,11870961,11839583,11808207,11776807,11745432,11714048,11682669,11651291,11619909,11588527,11557142,11525762,11494379,11462985,11431614,11400221,11368850,11337464,11306094,11274704,11243320,11211939,11180545,11149174,11117792,11086408,11055029,11023637,10992257,10960871,10929502,10898114,10866731,10835349,10803974,10772586,10741194,10709822,10678439,10647054,10615670,10584290,10552912,10521537,10490142,10458769,10427391,10396000,10396004,10455951,10515897,10575846,10635804,10695757,10755715,10815651,10875614,10935568,10995517,11055473,11115428,11175378,11235322,11295280,11355228,11415176,11475133,11535087,11595035,11654989,11714943,11774884,11834842,11894789,11954749,12014694,12074646,12134598,12194551,12254510,12314453,12374400,12434363,12494307,12554256,12614209,12674164,12734118,12794066,12854016,12913968,12973919,13033869,13093833,13153776,13213729,13273677,13333629,13393581,13453529,13513488,13573437,13633390,13693339,13753292,13813249,13873192,13933139,13993100,14053057,14112993,14172954,14232911,14292856,14352805,14412747,14472707,14532666,14592607,14652563,14712512,14772471,14832423,14892374,14952321,15012274,15072224,15132186,15192133,15252075,15312035,15371980,15431933,15491889,15551836,15611794,15671743,15731695,15791649,15851600,15851594,15820563,15789532,15758493,15727448,15696418,15665377,15634335,15603304,15572268,15541227,15510186,15479149,15448117,15417076,15386048,15355002,15323967,15292927,15261898,15230849,15199814,15168784,15137743,15106705,15075671,15044633,15013591,14982562,14951516,14920479,14889448,14858410,14827374,14796335,14765298,14734254,14703221,14672189,14641144,14610111,14579064,14548035,14516996,14485952,14454915,14423882,14392853,14361803,14330772,14299728,14268694,14237658,14206628,14175579,14144545,14113505,14082471,14051430,14020385,13989353,13958322,13927277,13896247,13865204,13834173,13803134,13772094,13741065,13710010,13678977,13647942,13616917,13585875,13554835,13523800,13492758,13461723,13430684,13399651,13368604,13337569,13306530,13275503,13244458,13213427,13182383,13151345,13120309,13089265,13058226,13027200
current_capital_lease_obligation,1389204,1393163,1397118,1401084,1405046,1409006,1412970,1416931,1420887,1424854,1428814,1432770,1436731,1440699,1444658,1448618,1452582,1456543,1460509,1464462,1468430,1472386,1476344,1480308,1484273,1488228,1492188,1496152,1500115,1504072,1508040,1511998,1515957,1519914,1523883,1527841,1531800,1535766,1539728,1543685,1547640,1551615,1555569,1559528,1563491,1567449,1571412,1575368,1579329,1583295,1587254,1591215,1595179,1599136,1603101,1607065,1611018,1614980,1618936,1622912,1626867,1630824,1634786,1638747,1642706,1646672,1650628,1654593,1658552,1662510,1666476,1670434,1674401,1678363,1682324,1686280,1690241,1694199,1698164,1702130,1706084,1710048,1714010,1717971,1721934,1725891,1729853,1733810,1737785,1741734,1745700,1745702,1747984,1750274,1752558,1754853,1757137,1759424,1761714,1763998,1766288,1768576,1770869,1773151,1775444,1777732,1780014,1782305,1784586,1786878,1789164,1791453,1793734,1796022,1798309,1800607,1802881,1805175,1807464,1809751,1812039,1814322,1816611,1818896,1821188,1823473,1825760,1828047,1830330,1832623,1834912,1837197,1839483,1841771,1844058,1846349,1848632,1850911,1853205,1855499,1857779,1860072,1862348,1864635,1866927,1869218,1871514,1873786,1876078,1878364,1880650,1882941,1885227,1887514,1889802,1892084,1894381,1896657,1898951,1901236,1903528,1905809,1908103,1910398,1912667,1914964,1917251,1919536,1921824,1924109,1926402,1928683,1930973,1933263,1935552,1937836,1940124,1942413,1944693,1946985,1949276,1951560,1953850,1953851,1957758,1961687,1965603,1969516,1973435,1977358,1981279,1985192,1989113,1993023,1996946,2000862,2004776,2008696,2012615,2016534,2020457,2024361,2028291,2032205,2036123,2040041,2043961,2047873,2051793,2055708,2059629,2063544,2067457,2071382,2075297,2079210,2083136,2087049,2090967,2094884,2098803,2102729,2106630,2110554,2114472,2118394,2122307,2126227,2130139,2134058,2137976,2141891,2145809,2149728,2153649,2157563,2161483,2165401,2169320,2173228,2177141,2181068,2184982,2188903,2192820,2196737,2200653,2204573,2208488,2212405,2216320,2220241,2224155,2228075,2232003,2235906,2239824,2243748,2247666,2251588,2255510,2259422,2263336,2267258,2271171,2275093,2279014,2282929,2286845,2290760,2294681,2298596,2302514,2306434,2310350
pensionand_other_post_retirement_benefit_plans_current,5900799,5876728,5852658,5828576,5804494,5780434,5756347,5732290,5708198,5684130,5660053,5635979,5611910,5587825,5563751,5539680,5515600,5491534,5467450,5443374,5419304,5395227,5371150,5347072,5323004,5298925,5274854,5250773,5226704,5202631,5178556,5154484,5130398,5106325,5082253,5058183,5034097,5010028,4985946,4961874,4937805,4913731,4889650,4865575,4841496,4817428,4793351,4769269,4745195,4721127,4697048,4672979,4648900,4624819,4600747,4576671,4552596,4528526,4504447,4480371,4456303,4432228,4408151,4384070,4360002,4335921,4311849,4287779,4263699,4239624,4215548,4191474,4167395,4143320,4119238,4095174,4071100,4047027,4022951,3998884,3974794,3950730,3926649,3902577,3878505,3854422,3830347,3806280,3782199,3758126,3734050,3734046,3758607,3783165,3807711,3832262,3856822,3881376,3905923,3930482,3955033,3979591,4004147,4028706,4053255,4077812,4102369,4126923,4151477,4176029,4200589,4225141,4249700,4274248,4298802,4323358,4347909,4372467,4397031,4421574,4446128,4470687,4495243,4519796,4544346,4568901,4593459,4618002,4642557,4667116,4691672,4716227,4740782,4765332,4789889,4814443,4839001,4863546,4888108,4912657,4937218,4961769,4986322,5010873,5035431,5059983,5084543,5109098,5133650,5158203,5182757,5207310,5231865,5256421,5280974,5305527,5330086,5354638,5379192,5403741,5428307,5452853,5477415,5501963,5526520,5551074,5575627,5600188,5624733,5649295,5673848,5698401,5722956,5747507,5772067,5796622,5821172,5845727,5870285,5894839,5919394,5943938,5968500,5968503,6011361,6054234,6097097,6139962,6182833,6225694,6268565,6311424,6354296,6397157,6440029,6482903,6525759,6568628,6611496,6654359,6697229,6740088,6782952,6825827,6868682,6911550,6954420,6997288,7040151,7083013,7125877,7168747,7211624,7254475,7297347,7340213,7383079,7425942,7468810,7511674,7554540,7597404,7640272,7683137,7726004,7768870,7811736,7854604,7897465,7940328,7983204,8026063,8068935,8111797,8154662,8197523,8240395,8283256,8326129,8368986,8411866,8454733,8497590,8540454,8583320,8626188,8669053,8711914,8754782,8797648,8840517,8883389,8926246,8969119,9011988,9054844,9097714,9140582,9183441,9226310,9269170,9312038,9354911,9397779,9440638,9483505,9526369,9569243,9612099,9654972,9697834,9740699,9783570,9826437,9869300
